Loyalty Number,Total Flights_mean,Total Flights_sum,Total Flights_max,Distance_mean,Distance_sum,Points Accumulated_mean,Points Accumulated_sum,Points Redeemed_sum,inactive_streak_max,inactive_streak_mean,churn_6m_max,flight_drop_max,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,segment,segment_v2
100018,1.9166666666666667,46,5,3382.9166666666665,81190,3382.9166666666665,81190.0,1513,2,0.2916666666666667,0,1,Female,Bachelor,92552.0,Married,Aurora,7919.2,Low Value - Stable,Low Value - Stable
100102,2.125,51,5,2871.5833333333335,68918,2871.5833333333335,68918.0,1195,3,0.4166666666666667,0,1,Male,College,,Single,Nova,2887.74,High Value - Loyal,Low Value - Stable
100140,1.9583333333333333,47,5,3035.6666666666665,72856,3035.6666666666665,72856.0,593,1,0.2916666666666667,0,1,Female,College,,Divorced,Nova,2838.07,Low Value - Stable,Low Value - Stable
100214,0.9166666666666666,22,4,1593.1666666666667,38236,1593.1666666666667,38236.0,861,6,1.375,1,1,Male,Bachelor,63253.0,Married,Star,4170.57,Low Value - At Risk,Low Value - At Risk
100272,1.5416666666666667,37,5,2291.5416666666665,54997,2291.5416666666665,54997.0,1007,3,0.6666666666666666,0,1,Female,Bachelor,91163.0,Divorced,Star,6622.05,Low Value - Stable,Low Value - Stable
100301,1.7083333333333333,41,6,2618.7083333333335,62849,2618.7083333333335,62849.0,1381,4,0.625,0,1,Male,Bachelor,70323.0,Divorced,Nova,48356.96,Low Value - Stable,High Value - Loyal
100364,1.375,33,5,1914.7916666666667,45955,1914.7916666666667,45955.0,559,5,0.9583333333333334,0,1,Male,Bachelor,76849.0,Married,Nova,5143.88,Low Value - Stable,Low Value - Stable
100380,1.375,33,4,2302.9166666666665,55270,2302.9166666666665,55270.0,1142,2,0.4166666666666667,0,1,Female,Bachelor,69695.0,Single,Star,2465.62,Low Value - Stable,Low Value - Stable
100428,1.4583333333333333,35,4,2428.375,58281,2428.375,58281.0,1658,2,0.5,0,1,Male,Bachelor,63478.0,Married,Aurora,5845.43,Low Value - Stable,Low Value - Stable
100504,0.7916666666666666,19,4,1159.875,27837,1159.875,27837.0,0,10,3.5,1,1,Female,Bachelor,75638.0,Divorced,Nova,8807.61,Low Value - At Risk,Low Value - At Risk
